[template_gray] {'method': 'gray', 'thresh': 0.8}
  213548/A000000213548_001.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_002.jpg    통과  1  미달  57  {'b.clinicx': 1, 'goodal': 0}
  213548/A000000213548_003.jpg    통과  0  미달   1  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_004.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_005.jpg    통과  0  미달   5  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_006.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_007.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_008.jpg    통과  0  미달   4  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_009.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_010.jpg    통과  0  미달   3  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_011.jpg    통과  0  미달   8  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_012.jpg    통과  0  미달  53  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_013.jpg    통과  0  미달  42  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_014.jpg    통과  0  미달  37  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_015.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_016.jpg    통과  0  미달   3  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_017.jpg    통과  0  미달   7  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_018.jpg    통과  1  미달  43  {'b.clinicx': 1, 'goodal': 0}
  219554/A000000219554_001.jpg    통과  0  미달   5  {'b.clinicx': 0, 'goodal': 0}
  219554/A000000219554_002.jpg    통과  0  미달 121  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_001.jpg    통과  0  미달  39  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_002.jpg    통과  0  미달   7  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_003.jpg    통과  0  미달   4  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_004.jpg    통과  0  미달   9  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_005.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_006.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_007.jpg    통과  0  미달  22  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_008.jpg    통과  0  미달  23  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_009.jpg    통과  0  미달  34  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_010.jpg    통과  0  미달   5  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_011.jpg    통과  0  미달  11  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_012.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_013.jpg    통과  0  미달  53  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_014.jpg    통과  0  미달  27  {'b.clinicx': 0, 'goodal': 0}
[template_gray] 완료 — 통과 2, 91.67s

[template_edge] {'method': 'edge', 'thresh': 0.45}
  213548/A000000213548_001.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_002.jpg    통과  1  미달   0  {'b.clinicx': 1, 'goodal': 0}
  213548/A000000213548_003.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_004.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_005.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_006.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_007.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_008.jpg    통과  0  미달   3  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_009.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_010.jpg    통과  0  미달   1  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_011.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_012.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_013.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_014.jpg    통과  0  미달   7  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_015.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_016.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_017.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_018.jpg    통과  1  미달  52  {'b.clinicx': 1, 'goodal': 0}
  219554/A000000219554_001.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  219554/A000000219554_002.jpg    통과  0  미달  47  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_001.jpg    통과  0  미달  11  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_002.jpg    통과  0  미달   1  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_003.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_004.jpg    통과  0  미달   4  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_005.jpg    통과  0  미달   1  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_006.jpg    통과  0  미달   1  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_007.jpg    통과  0  미달   6  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_008.jpg    통과  0  미달   2  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_009.jpg    통과  0  미달   4  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_010.jpg    통과  0  미달   2  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_011.jpg    통과  0  미달   3  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_012.jpg    통과  0  미달   3  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_013.jpg    통과  0  미달   6  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_014.jpg    통과  0  미달  10  {'b.clinicx': 0, 'goodal': 0}
[template_edge] 완료 — 통과 2, 87.44s

[feature_orb] {'method': 'orb', 'min_inliers': 12}
  213548/A000000213548_001.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_002.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_003.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_004.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_005.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_006.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_007.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_008.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_009.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_010.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_011.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_012.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  213548/A000000213548_013.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
